good,dirty,wait,lastyear,usa
1,0,2.14,2,0
1,0,2.21,2,0
1,0,3.21,2,0
0,0,2.62,11,0
1,0,2.21,7,0
0,0,1.31,1,0
1,0,0.81,4,0
1,0,2.94,3,0
0,0,1.79,2,0
1,0,2.21,7,0
1,0,1.06,2,0
0,0,2.21,2,0
0,1,2.42,21,0
1,0,3.47,5,0
1,0,1.57,2,0
0,0,1.79,7,0
0,0,3.21,4,0
1,0,5.67,2,0
0,0,5.67,2,0
0,0,5.67,1,0
1,0,5.67,4,0
1,0,5.67,1,0
1,0,5.67,1,0
0,0,5.67,2,0
1,0,5.67,2,0
0,0,5.67,1,0
0,0,5.67,2,0
0,0,5.67,3,0
1,0,5.67,2,0
0,0,5.67,5,0
1,0,5.67,2,0
0,0,5.67,1,0
1,0,5.67,1,0
1,0,1.24,6,1
1,0,5.59,3,1
1,0,1.72,1,1
1,0,1.41,4,1
0,0,3.17,1,1
0,2,2.16,2,1
1,2,5.16,1,1
1,0,5.16,1,1
0,0,5.26,3,1
0,0,0.74,6,1
1,0,5.51,2,1
0,0,0.74,2,1
1,0,5.51,1,1
0,0,5.51,1,1
0,0,4.94,2,1
0,0,4.94,1,1
0,0,5.26,1,1
1,0,4.92,1,1
0,0,0.74,1,1
1,0,0.74,1,1
1,0,5.67,2,1
0,0,5.67,1,1
1,1,1.71,9,1
0,0,3.99,1,1
0,0,4.52,1,1
1,0,1.31,1,1
1,2,3.29,19,1
0,1,4.16,4,1
0,0,1.91,6,1
1,0,1.91,1,1
0,0,0.97,1,1
1,0,5.49,8,1
0,0,5.24,2,1
0,0,1.47,1,1
1,0,4.56,1,1
0,0,0.72,5,1
0,0,0.97,1,1
0,0,1.91,1,1
0,0,3.04,4,1
0,0,0.97,1,1
0,0,0.97,1,1
0,0,5.49,5,1
0,0,0.97,50,1
0,0,1.47,2,1
1,0,1.47,7,1
1,0,0.97,3,1
0,0,5.24,66,1
1,0,4.72,1,1
1,0,4.54,3,1
0,0,5.24,8,1
1,0,5.11,2,1
1,0,2.74,4,1
0,2,3.82,6,1
1,0,1.66,0,1
1,0,0.99,1,1
1,0,2.36,1,1
1,0,2.36,1,1
0,0,1.51,2,1
1,0,5.51,4,1
0,0,5.51,1,1
1,0,3.32,4,1
0,1,5.51,13,1
0,0,0.74,43,1
1,1,5.26,3,1
0,0,1.92,3,1
1,0,1.51,2,1
1,0,0.99,3,1
1,0,0.82,1,1
0,0,1.92,28,1
1,1,0.74,1,1
1,0,1.24,1,1
1,0,5.51,1,1
1,0,2.36,2,1
1,0,3.02,8,1
0,2,1.24,1,1
0,0,5.51,2,1
1,0,5.26,3,1
0,0,4.96,2,1
0,0,5.51,1,1
0,0,5.51,9,1
0,0,5.42,7,1
1,0,0.99,0,1
1,0,2.36,2,1
1,0,1.92,4,1
0,0,5.11,2,1
0,0,5.57,3,1
1,0,5.41,1,1
1,0,1.64,1,1
1,0,1.14,1,1
1,0,5.11,5,1
0,0,5.32,3,1
0,0,0.89,3,1
0,0,5.11,2,1
1,0,4.54,50,1
0,0,5.41,0,1
0,0,4.72,7,1
0,1,5.32,16,1
1,0,5.66,54,1
0,0,1.64,10,1
1,0,1.14,2,1
1,0,0.89,1,1
1,1,5.66,4,1
0,0,5.11,4,1
1,0,1.14,4,1
1,0,2.16,4,0
1,0,2.36,6,0
1,0,0.82,1,0
1,0,2.36,2,0
1,0,1.24,1,0
1,0,0.99,2,0
1,0,1.92,2,0
0,0,1.07,5,0
1,0,0.82,5,0
1,0,5.51,2,0
1,1,1.92,1,0
0,0,0.99,4,0
1,0,1.92,2,0
1,0,0.99,4,0
1,0,0.74,2,0
1,0,5.51,2,0
0,0,1.51,1,0
0,0,1.92,2,0
